reviewStatus,cctvId,cctvName,region,visionTier,identificationUse,approachDistanceMeters,resolutionWidth,resolutionHeight,directionCalibrationStatus,lineZoneForward,lineZoneReverse,evidenceSource,verificationMethod,sampleCount,datasetPath,reviewer,reviewedAt,notes
review_needed,GTIC-X-100402011,스마트교차로_강화.검단방향,김포,,,,1920,1080,pending,,,sample_frame_capture,ffmpeg_multi_frame_probe,3,/Users/jungsunghoon/cctv-monitor/.vision-calibration-samples/2026-04-29T02-11-50-394Z,,,prefilled_from_review_worklist; needs_manual_tier_distance_line_zone_reviewer_reviewedAt
review_needed,GTIC-X-102802102,스마트교차로_강화.김포시청방향,김포,,,,1280,720,pending,,,sample_frame_capture,ffmpeg_multi_frame_probe,3,/Users/jungsunghoon/cctv-monitor/.vision-calibration-samples/2026-04-29T02-11-50-394Z,,,prefilled_from_review_worklist; needs_manual_tier_distance_line_zone_reviewer_reviewedAt
review_needed,GTIC-X-101901068,스마트교차로_강화.서울방향,김포,,,,1920,1080,pending,,,sample_frame_capture,ffmpeg_multi_frame_probe,3,/Users/jungsunghoon/cctv-monitor/.vision-calibration-samples/2026-04-29T02-11-50-394Z,,,prefilled_from_review_worklist; needs_manual_tier_distance_line_zone_reviewer_reviewedAt
