rank,cctvId,cctvName,region,source,address,suggestedReviewTier,suggestedIdentificationUse,suggestedDirectionStatus,suggestionScore,suggestionReason,streamUrl
19,IUTIC-L020042,루원교차로,인천,incheon-utic,인천 루원교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L529.stream/playlist.m3u8
20,IUTIC-L020051,문학경기장정문교차로,인천,incheon-utic,인천 문학경기장정문교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L801.stream/playlist.m3u8
21,IUTIC-L020059,백석교차로,인천,incheon-utic,인천 백석교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L516.stream/playlist.m3u8
22,IUTIC-L020083,석남1고가교입구교차로,인천,incheon-utic,인천 석남1고가교입구교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L526.stream/playlist.m3u8
23,IUTIC-L020091,소래대교입구,인천,incheon-utic,인천 소래대교입구,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:입구; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L1022.stream/playlist.m3u8
24,IUTIC-L020100,송도-국제학교 삼거리#2,인천,incheon-utic,인천 송도-국제학교 삼거리#2,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:삼거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/F1029.stream/playlist.m3u8
25,IUTIC-L020095,송도3교교차로,인천,incheon-utic,인천 송도3교교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L810.stream/playlist.m3u8
26,IUTIC-L020096,송도5교사거리,인천,incheon-utic,인천 송도5교사거리,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:사거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L1015.stream/playlist.m3u8
27,IUTIC-L020162,옹암교차로,인천,incheon-utic,인천 옹암교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L805.stream/playlist.m3u8
28,IUTIC-L020175,인천교삼거리,인천,incheon-utic,인천 인천교삼거리,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:삼거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L224.stream/playlist.m3u8
